UNH_YTP.R1012.LI402.OL,DATETIME,Level
7556.627051,2017-09-01T02:00:00,7556.627051
7560.274821,2017-09-01T02:01:00,7560.274821
7561.828898,2017-09-01T02:02:00,7561.828898
7564.774023,2017-09-01T02:03:00,7564.774023
7566.322876,2017-09-01T02:04:00,7566.322876
7568.78536,2017-09-01T02:05:00,7568.78536
7572.323161,2017-09-01T02:06:00,7572.323161
7574.020671,2017-09-01T02:07:00,7574.020671
7578.15625,2017-09-01T02:08:00,7578.15625
7581.455322,2017-09-01T02:09:00,7581.455322
7583.82251,2017-09-01T02:10:00,7583.82251
7585.974121,2017-09-01T02:11:00,7585.974121
7588.986084,2017-09-01T02:12:00,7588.986084
7591.352783,2017-09-01T02:13:00,7591.352783
7593.862915,2017-09-01T02:14:00,7593.862915
7595.870972,2017-09-01T02:15:00,7595.870972
7599.098022,2017-09-01T02:16:00,7599.098022
7602.564453,2017-09-01T02:17:00,7602.564453
7604.524495,2017-09-01T02:18:00,7604.524495
7606.599707,2017-09-01T02:19:00,7606.599707
7609.210327,2017-09-01T02:20:00,7609.210327
7612.437988,2017-09-01T02:21:00,7612.437988
7614.230957,2017-09-01T02:22:00,7614.230957
7616.956055,2017-09-01T02:23:00,7616.956055
7620.876546,2017-09-01T02:24:00,7620.876546
7622.980225,2017-09-01T02:25:00,7622.980225
7625.586019,2017-09-01T02:26:00,7625.586019
7627.857178,2017-09-01T02:27:00,7627.857178
7630.582194,2017-09-01T02:28:00,7630.582194
7632.590413,2017-09-01T02:29:00,7632.590413
7635.913208,2017-09-01T02:30:00,7635.913208
7639.044922,2017-09-01T02:31:00,7639.044922
7641.483154,2017-09-01T02:32:00,7641.483154
7644.265625,2017-09-01T02:33:00,7644.265625
7645.929443,2017-09-01T02:34:00,7645.929443
7649.228638,2017-09-01T02:35:00,7649.228638
7652.886108,2017-09-01T02:36:00,7652.886108
7654.822266,2017-09-01T02:37:00,7654.822266
7657.619385,2017-09-01T02:38:00,7657.619385
7660.272949,2017-09-01T02:39:00,7660.272949
7663.858765,2017-09-01T02:40:00,7663.858765
7666.368652,2017-09-01T02:41:00,7666.368652
7669.668091,2017-09-01T02:42:00,7669.668091
7672.537109,2017-09-01T02:43:00,7672.537109
7675.764404,2017-09-01T02:44:00,7675.764404
7678.680868,2017-09-01T02:45:00,7678.680868
7682.338175,2017-09-01T02:46:00,7682.338175
7684.752604,2017-09-01T02:47:00,7684.752604
7687.836629,2017-09-01T02:48:00,7687.836629
7690.585775,2017-09-01T02:49:00,7690.585775
7693.078423,2017-09-01T02:50:00,7693.078423
7697.394043,2017-09-01T02:51:00,7697.394043
7699.631445,2017-09-01T02:52:00,7699.631445
7702.844922,2017-09-01T02:53:00,7702.844922
7705.981608,2017-09-01T02:54:00,7705.981608
7708.419775,2017-09-01T02:55:00,7708.419775
7711.470117,2017-09-01T02:56:00,7711.470117
7714.480391,2017-09-01T02:57:00,7714.480391
7717.302979,2017-09-01T02:58:00,7717.302979
7720.707113,2017-09-01T02:59:00,7720.707113
7723.040283,2017-09-01T03:00:00,7723.040283
