DATETIME,Level
2017-09-01T04:26:00,5048.229004
2017-09-01T04:27:00,5029.175256
2017-09-01T04:28:00,5001.272607
2017-09-01T04:29:00,4962.694766
2017-09-01T04:30:00,4913.291321
2017-09-01T04:31:00,4866.026449
2017-09-01T04:32:00,4816.120719
2017-09-01T04:33:00,4767.7875
2017-09-01T04:34:00,4724.35874
2017-09-01T04:35:00,4695.55166
2017-09-01T04:36:00,4684.994548
2017-09-01T04:37:00,4675.593237
2017-09-01T04:38:00,4674.111312
2017-09-01T04:39:00,4673.407837
2017-09-01T04:40:00,4671.737529
2017-09-01T04:41:00,4665.116699
2017-09-01T04:42:00,4652.032336
2017-09-01T04:43:00,4631.290186
2017-09-01T04:44:00,4606.930436
2017-09-01T04:45:00,4569.033472
2017-09-01T04:46:00,4526.192603
2017-09-01T04:47:00,4475.52832
2017-09-01T04:48:00,4429.174854
2017-09-01T04:49:00,4376.671338
2017-09-01T04:50:00,4333.558752
2017-09-01T04:51:00,4304.28479
2017-09-01T04:52:00,4288.562256
2017-09-01T04:53:00,4280.331738
2017-09-01T04:54:00,4277.407471
2017-09-01T04:55:00,4275.40743
2017-09-01T04:56:00,4275.779297
2017-09-01T04:57:00,4272.907304
2017-09-01T04:58:00,4258.735775
2017-09-01T04:59:00,4238.756934
2017-09-01T05:00:00,4215.26541
2017-09-01T05:01:00,4182.258398
2017-09-01T05:02:00,4136.633919
2017-09-01T05:03:00,4088.014307
2017-09-01T05:04:00,4038.731787
2017-09-01T05:05:00,3990.69519
2017-09-01T05:06:00,3941.703857
2017-09-01T05:07:00,3909.294401
2017-09-01T05:08:00,3890.903467
2017-09-01T05:09:00,3880.8743
2017-09-01T05:10:00,3876.854492
2017-09-01T05:11:00,3876.311768
2017-09-01T05:12:00,3876.311768
2017-09-01T05:13:00,3872.72417
2017-09-01T05:14:00,3862.549023
2017-09-01T05:15:00,3845.138452
2017-09-01T05:16:00,3821.44165
2017-09-01T05:17:00,3786.951855
2017-09-01T05:18:00,3745.568018
2017-09-01T05:19:00,3700.817554
2017-09-01T05:20:00,3651.434424
2017-09-01T05:21:00,3602.623926
2017-09-01T05:22:00,3551.582446
2017-09-01T05:23:00,3516.258626
2017-09-01T05:24:00,3494.752539
2017-09-01T05:25:00,3484.502012
2017-09-01T05:26:00,3477.748877
2017-09-01T05:27:00,3474.794287
2017-09-01T05:28:00,3473.347314
2017-09-01T05:29:00,3474.975342
2017-09-01T05:30:00,3467.121326
2017-09-01T05:31:00,3455.089346
2017-09-01T05:32:00,3435.320003
2017-09-01T05:33:00,3410.602275
2017-09-01T05:34:00,3374.76167
2017-09-01T05:35:00,3329.920752
2017-09-01T05:36:00,3281.663135
2017-09-01T05:37:00,3233.546045
2017-09-01T05:38:00,3183.801107
2017-09-01T05:39:00,3136.045947
2017-09-01T05:40:00,3103.927686
2017-09-01T05:41:00,3086.819443
2017-09-01T05:42:00,3079.658276
2017-09-01T05:43:00,3073.578296
2017-09-01T05:44:00,3073.518018
2017-09-01T05:45:00,3072.854736
2017-09-01T05:46:00,3071.407471
2017-09-01T05:47:00,3058.20249
2017-09-01T05:48:00,3042.485042
2017-09-01T05:49:00,3019.733057
2017-09-01T05:50:00,2988.484106
2017-09-01T05:51:00,2943.758691
2017-09-01T05:52:00,2897.571436
2017-09-01T05:53:00,2849.840205
2017-09-01T05:54:00,2801.638892
2017-09-01T05:55:00,2761.722217
2017-09-01T05:56:00,2730.018037
2017-09-01T05:57:00,2713.484631
2017-09-01T05:58:00,2705.103442
2017-09-01T05:59:00,2702.353828
2017-09-01T06:00:00,2700.46062
2017-09-01T06:01:00,2699.103882
2017-09-01T06:02:00,2695.697266
2017-09-01T06:03:00,2685.974304
2017-09-01T06:04:00,2668.171631
2017-09-01T06:05:00,2645.349121
2017-09-01T06:06:00,2610.075317
2017-09-01T06:07:00,2566.096252
2017-09-01T06:08:00,2516.464315
2017-09-01T06:09:00,2468.07605
2017-09-01T06:10:00,2418.079671
2017-09-01T06:11:00,2371.600708
2017-09-01T06:12:00,2335.523112
2017-09-01T06:13:00,2315.901428
2017-09-01T06:14:00,2305.72644
2017-09-01T06:15:00,2298.943042
2017-09-01T06:16:00,2296.041138
2017-09-01T06:17:00,2297.737101
2017-09-01T06:18:00,2294.420715
2017-09-01T06:19:00,2284.17041
2017-09-01T06:20:00,2268.94516
2017-09-01T06:21:00,2248.293579
2017-09-01T06:22:00,2221.712565
2017-09-01T06:23:00,2179.630463
2017-09-01T06:24:00,2135.839722
2017-09-01T06:25:00,2090.541687
2017-09-01T06:26:00,2043.359192
2017-09-01T06:27:00,2003.38739
2017-09-01T06:28:00,1982.233093
2017-09-01T06:29:00,1968.515401
2017-09-01T06:30:00,1959.269958
2017-09-01T06:31:00,1957.021408
2017-09-01T06:32:00,1953.818176
2017-09-01T06:33:00,1954.647339
2017-09-01T06:34:00,1954.285559
2017-09-01T06:35:00,1953.441406
2017-09-01T06:36:00,1953.441406
2017-09-01T06:37:00,1953.441406
2017-09-01T06:38:00,1954.496533
2017-09-01T06:39:00,1954.722687
2017-09-01T06:40:00,1954.647339
2017-09-01T06:41:00,1954.195068
2017-09-01T06:42:00,1954.044373
2017-09-01T06:43:00,1954.044373
2017-09-01T06:44:00,1953.943878
2017-09-01T06:45:00,1954.496597
2017-09-01T06:46:00,1956.456177
2017-09-01T06:47:00,1956.003967
2017-09-01T06:48:00,1953.943878
2017-09-01T06:49:00,1953.516754
2017-09-01T06:50:00,1954.571945
2017-09-01T06:51:00,1954.873444
2017-09-01T06:52:00,1954.647339
2017-09-01T06:53:00,1957.008901
2017-09-01T06:54:00,1957.360596
2017-09-01T06:55:00,1969.57074
2017-09-01T06:56:00,1985.775513
2017-09-01T06:57:00,2003.713989
2017-09-01T06:58:00,2016.803324
2017-09-01T06:59:00,2032.35498
2017-09-01T07:00:00,2047.655273
2017-09-01T07:01:00,2062.453339
2017-09-01T07:02:00,2078.004964
2017-09-01T07:03:00,2086.999084
2017-09-01T07:04:00,2102.877197
2017-09-01T07:05:00,2114.132751
2017-09-01T07:06:00,2125.28772
2017-09-01T07:07:00,2133.880005
2017-09-01T07:08:00,2142.623169
2017-09-01T07:09:00,2153.084473
2017-09-01T07:10:00,2162.309961
2017-09-01T07:11:00,2168.098584
2017-09-01T07:12:00,2175.052799
2017-09-01T07:13:00,2179.735938
2017-09-01T07:14:00,2186.851074
2017-09-01T07:15:00,2191.867734
2017-09-01T07:16:00,2200.77959
2017-09-01T07:17:00,2206.34681
2017-09-01T07:18:00,2209.793823
2017-09-01T07:19:00,2214.177432
2017-09-01T07:20:00,2219.381067
2017-09-01T07:21:00,2225.139326
2017-09-01T07:22:00,2229.299805
2017-09-01T07:23:00,2231.71167
2017-09-01T07:24:00,2235.329834
2017-09-01T07:25:00,2240.816748
2017-09-01T07:26:00,2246.243398
2017-09-01T07:27:00,2249.801025
2017-09-01T07:28:00,2253.599678
2017-09-01T07:29:00,2254.484049
2017-09-01T07:30:00,2255.830615
2017-09-01T07:31:00,2258.543945
2017-09-01T07:32:00,2258.84541
2017-09-01T07:33:00,2261.769824
2017-09-01T07:34:00,2263.391797
2017-09-01T07:35:00,2268.583398
2017-09-01T07:36:00,2268.794434
2017-09-01T07:37:00,2272.834326
2017-09-01T07:38:00,2275.101436
2017-09-01T07:39:00,2275.439131
2017-09-01T07:40:00,2277.838867
2017-09-01T07:41:00,2277.642883
2017-09-01T07:42:00,2277.537354
2017-09-01T07:43:00,2277.537354
2017-09-01T07:44:00,2277.808679
2017-09-01T07:45:00,2278.562362
2017-09-01T07:46:00,2277.668009
2017-09-01T07:47:00,2277.577555
2017-09-01T07:48:00,2277.497152
2017-09-01T07:49:00,2277.537354
2017-09-01T07:50:00,2277.537354
2017-09-01T07:51:00,2278.80354
2017-09-01T07:52:00,2278.80354
2017-09-01T07:53:00,2278.80354
2017-09-01T07:54:00,2277.768514
2017-09-01T07:55:00,2277.607707
2017-09-01T07:56:00,2277.768514
2017-09-01T07:57:00,2277.607707
2017-09-01T07:58:00,2277.768514
2017-09-01T07:59:00,2278.743262
2017-09-01T08:00:00,2277.768514
2017-09-01T08:01:00,2276.452129
2017-09-01T08:02:00,2277.621777
2017-09-01T08:03:00,2276.859106
2017-09-01T08:04:00,2277.718281
2017-09-01T08:05:00,2277.688135
2017-09-01T08:06:00,2277.557454
2017-09-01T08:07:00,2278.893994
2017-09-01T08:08:00,2277.296216
2017-09-01T08:09:00,2276.557593
2017-09-01T08:10:00,2277.537354
2017-09-01T08:11:00,2276.595325
2017-09-01T08:12:00,2277.055037
2017-09-01T08:13:00,2277.838867
2017-09-01T08:14:00,2277.602681
2017-09-01T08:15:00,2276.843984
2017-09-01T08:16:00,2277.768514
2017-09-01T08:17:00,2276.949481
2017-09-01T08:18:00,2277.356482
