,DATETIME,Level
7321.436055,2017-09-01T02:00:00,7321.436055
7320.551758,2017-09-01T02:01:00,7320.551758
7320.551758,2017-09-01T02:02:00,7320.551758
7320.852539,2017-09-01T02:03:00,7320.852539
7320.852539,2017-09-01T02:04:00,7320.852539
7322.266211,2017-09-01T02:05:00,7322.266211
7322.356445,2017-09-01T02:06:00,7322.356445
7320.852539,2017-09-01T02:07:00,7320.852539
7322.256185,2017-09-01T02:08:00,7322.256185
7321.754883,2017-09-01T02:09:00,7321.754883
7322.356445,2017-09-01T02:10:00,7322.356445
7322.356445,2017-09-01T02:11:00,7322.356445
7320.752279,2017-09-01T02:12:00,7320.752279
7320.652018,2017-09-01T02:13:00,7320.652018
7321.454102,2017-09-01T02:14:00,7321.454102
7323.108398,2017-09-01T02:15:00,7323.108398
7320.852539,2017-09-01T02:16:00,7320.852539
7320.551758,2017-09-01T02:17:00,7320.551758
7320.551758,2017-09-01T02:18:00,7320.551758
7320.601888,2017-09-01T02:19:00,7320.601888
7320.852539,2017-09-01T02:20:00,7320.852539
7321.855143,2017-09-01T02:21:00,7321.855143
7321.454102,2017-09-01T02:22:00,7321.454102
7320.551758,2017-09-01T02:23:00,7320.551758
7320.551758,2017-09-01T02:24:00,7320.551758
7320.551758,2017-09-01T02:25:00,7320.551758
7322.055664,2017-09-01T02:26:00,7322.055664
7320.752279,2017-09-01T02:27:00,7320.752279
7320.852539,2017-09-01T02:28:00,7320.852539
7323.033203,2017-09-01T02:29:00,7323.033203
7320.601888,2017-09-01T02:30:00,7320.601888
7321.754883,2017-09-01T02:31:00,7321.754883
7321.754883,2017-09-01T02:32:00,7321.754883
7320.852539,2017-09-01T02:33:00,7320.852539
7322.356445,2017-09-01T02:34:00,7322.356445
7322.356445,2017-09-01T02:35:00,7322.356445
7321.15332,2017-09-01T02:36:00,7321.15332
7320.752279,2017-09-01T02:37:00,7320.752279
7321.454102,2017-09-01T02:38:00,7321.454102
7320.852539,2017-09-01T02:39:00,7320.852539
7320.652018,2017-09-01T02:40:00,7320.652018
7320.792383,2017-09-01T02:41:00,7320.792383
7321.454102,2017-09-01T02:42:00,7321.454102
7320.852539,2017-09-01T02:43:00,7320.852539
7320.852539,2017-09-01T02:44:00,7320.852539
7320.852539,2017-09-01T02:45:00,7320.852539
7320.852539,2017-09-01T02:46:00,7320.852539
7320.852539,2017-09-01T02:47:00,7320.852539
7320.652018,2017-09-01T02:48:00,7320.652018
7320.752279,2017-09-01T02:49:00,7320.752279
7319.950195,2017-09-01T02:50:00,7319.950195
7320.852539,2017-09-01T02:51:00,7320.852539
7322.356445,2017-09-01T02:52:00,7322.356445
7322.356445,2017-09-01T02:53:00,7322.356445
7320.551758,2017-09-01T02:54:00,7320.551758
7321.00293,2017-09-01T02:55:00,7321.00293
7322.175977,2017-09-01T02:56:00,7322.175977
7320.852539,2017-09-01T02:57:00,7320.852539
7322.777539,2017-09-01T02:58:00,7322.777539
7320.852539,2017-09-01T02:59:00,7320.852539
7320.852539,2017-09-01T03:00:00,7320.852539
7320.862565,2017-09-01T03:01:00,7320.862565
7320.997917,2017-09-01T03:02:00,7320.997917
7322.717383,2017-09-01T03:03:00,7322.717383
7321.128255,2017-09-01T03:04:00,7321.128255
7322.356445,2017-09-01T03:05:00,7322.356445
7320.852539,2017-09-01T03:06:00,7320.852539
7320.697135,2017-09-01T03:07:00,7320.697135
7320.551758,2017-09-01T03:08:00,7320.551758
7320.862565,2017-09-01T03:09:00,7320.862565
7320.842513,2017-09-01T03:10:00,7320.842513
7320.551758,2017-09-01T03:11:00,7320.551758
7320.707161,2017-09-01T03:12:00,7320.707161
7320.972852,2017-09-01T03:13:00,7320.972852
7320.61793,2017-09-01T03:14:00,7320.61793
7322.11582,2017-09-01T03:15:00,7322.11582
7322.018066,2017-09-01T03:16:00,7322.018066
7320.852539,2017-09-01T03:17:00,7320.852539
7322.657227,2017-09-01T03:18:00,7322.657227
7322.031602,2017-09-01T03:19:00,7322.031602
7320.852539,2017-09-01T03:20:00,7320.852539
7320.852539,2017-09-01T03:21:00,7320.852539
7320.852539,2017-09-01T03:22:00,7320.852539
7320.852539,2017-09-01T03:23:00,7320.852539
7321.860156,2017-09-01T03:24:00,7321.860156
7321.529297,2017-09-01T03:25:00,7321.529297
7320.852539,2017-09-01T03:26:00,7320.852539
7320.852539,2017-09-01T03:27:00,7320.852539
7321.734831,2017-09-01T03:28:00,7321.734831
7322.28125,2017-09-01T03:29:00,7322.28125
7320.647005,2017-09-01T03:30:00,7320.647005
7320.757292,2017-09-01T03:31:00,7320.757292
7320.556771,2017-09-01T03:32:00,7320.556771
7320.852539,2017-09-01T03:33:00,7320.852539
7320.852539,2017-09-01T03:34:00,7320.852539
7320.852539,2017-09-01T03:35:00,7320.852539
7320.927734,2017-09-01T03:36:00,7320.927734
7320.747266,2017-09-01T03:37:00,7320.747266
7320.657031,2017-09-01T03:38:00,7320.657031
7320.852539,2017-09-01T03:39:00,7320.852539
7320.694629,2017-09-01T03:40:00,7320.694629
7320.852539,2017-09-01T03:41:00,7320.852539
7320.852539,2017-09-01T03:42:00,7320.852539
7320.852539,2017-09-01T03:43:00,7320.852539
7319.22832,2017-09-01T03:44:00,7319.22832
7320.852539,2017-09-01T03:45:00,7320.852539
7321.494206,2017-09-01T03:46:00,7321.494206
7320.852539,2017-09-01T03:47:00,7320.852539
7320.852539,2017-09-01T03:48:00,7320.852539
7320.852539,2017-09-01T03:49:00,7320.852539
7320.852539,2017-09-01T03:50:00,7320.852539
7320.852539,2017-09-01T03:51:00,7320.852539
7321.113216,2017-09-01T03:52:00,7321.113216
7321.15332,2017-09-01T03:53:00,7321.15332
7320.812435,2017-09-01T03:54:00,7320.812435
7320.591862,2017-09-01T03:55:00,7320.591862
7322.005534,2017-09-01T03:56:00,7322.005534
7320.561784,2017-09-01T03:57:00,7320.561784
7320.852539,2017-09-01T03:58:00,7320.852539
7320.852539,2017-09-01T03:59:00,7320.852539
7321.995508,2017-09-01T04:00:00,7321.995508
7320.641992,2017-09-01T04:01:00,7320.641992
7320.732227,2017-09-01T04:02:00,7320.732227
7319.258398,2017-09-01T04:03:00,7319.258398
7320.551758,2017-09-01T04:04:00,7320.551758
7320.250977,2017-09-01T04:05:00,7320.250977
7320.852539,2017-09-01T04:06:00,7320.852539
7320.852539,2017-09-01T04:07:00,7320.852539
7320.852539,2017-09-01T04:08:00,7320.852539
7321.63457,2017-09-01T04:09:00,7321.63457
7321.15332,2017-09-01T04:10:00,7321.15332
7320.892643,2017-09-01T04:11:00,7320.892643
7320.591862,2017-09-01T04:12:00,7320.591862
7321.073112,2017-09-01T04:13:00,7321.073112
7320.852539,2017-09-01T04:14:00,7320.852539
7320.78737,2017-09-01T04:15:00,7320.78737
7320.616927,2017-09-01T04:16:00,7320.616927
7320.917708,2017-09-01T04:17:00,7320.917708
7321.022982,2017-09-01T04:18:00,7321.022982
7320.616927,2017-09-01T04:19:00,7320.616927
7320.852539,2017-09-01T04:20:00,7320.852539
7320.852539,2017-09-01T04:21:00,7320.852539
7320.917708,2017-09-01T04:22:00,7320.917708
7321.15332,2017-09-01T04:23:00,7321.15332
7321.088151,2017-09-01T04:24:00,7321.088151
7320.917708,2017-09-01T04:25:00,7320.917708
7321.075117,2017-09-01T04:26:00,7321.075117
7319.238346,2017-09-01T04:27:00,7319.238346
7320.872591,2017-09-01T04:28:00,7320.872591
7320.88763,2017-09-01T04:29:00,7320.88763
7320.852539,2017-09-01T04:30:00,7320.852539
7321.118229,2017-09-01T04:31:00,7321.118229
7321.15332,2017-09-01T04:32:00,7321.15332
7320.88763,2017-09-01T04:33:00,7320.88763
7320.852539,2017-09-01T04:34:00,7320.852539
7320.852539,2017-09-01T04:35:00,7320.852539
7320.71418,2017-09-01T04:36:00,7320.71418
7320.401367,2017-09-01T04:37:00,7320.401367
7320.501628,2017-09-01T04:38:00,7320.501628
7320.852539,2017-09-01T04:39:00,7320.852539
7320.641992,2017-09-01T04:40:00,7320.641992
7320.581836,2017-09-01T04:41:00,7320.581836
7321.15332,2017-09-01T04:42:00,7321.15332
