,DATETIME,Level
5475.935303,2017-09-01T03:51:00,5475.935303
5486.653906,2017-09-01T03:52:00,5486.653906
5495.170166,2017-09-01T03:53:00,5495.170166
5501.729004,2017-09-01T03:54:00,5501.729004
5508.385254,2017-09-01T03:55:00,5508.385254
5522.480957,2017-09-01T03:56:00,5522.480957
5529.529004,2017-09-01T03:57:00,5529.529004
5535.402344,2017-09-01T03:58:00,5535.402344
5545.876383,2017-09-01T03:59:00,5545.876383
5551.553711,2017-09-01T04:00:00,5551.553711
5565.356445,2017-09-01T04:01:00,5565.356445
5571.523438,2017-09-01T04:02:00,5571.523438
5580.17387,2017-09-01T04:03:00,5580.17387
5592.132402,2017-09-01T04:04:00,5592.132402
5598.760767,2017-09-01T04:05:00,5598.760767
5611.05022,2017-09-01T04:06:00,5611.05022
5620.758721,2017-09-01T04:07:00,5620.758721
5627.603377,2017-09-01T04:08:00,5627.603377
5639.712012,2017-09-01T04:09:00,5639.712012
5650.599243,2017-09-01T04:10:00,5650.599243
5656.891602,2017-09-01T04:11:00,5656.891602
5668.014136,2017-09-01T04:12:00,5668.014136
5673.968018,2017-09-01T04:13:00,5673.968018
5687.726546,2017-09-01T04:14:00,5687.726546
5693.878381,2017-09-01T04:15:00,5693.878381
5704.611865,2017-09-01T04:16:00,5704.611865
5714.948889,2017-09-01T04:17:00,5714.948889
5722.804329,2017-09-01T04:18:00,5722.804329
5734.903418,2017-09-01T04:19:00,5734.903418
5741.877734,2017-09-01T04:20:00,5741.877734
5751.735417,2017-09-01T04:21:00,5751.735417
5761.604614,2017-09-01T04:22:00,5761.604614
5770.882137,2017-09-01T04:23:00,5770.882137
5778.821411,2017-09-01T04:24:00,5778.821411
5790.191699,2017-09-01T04:25:00,5790.191699
5796.440918,2017-09-01T04:26:00,5796.440918
5808.123657,2017-09-01T04:27:00,5808.123657
5816.096956,2017-09-01T04:28:00,5816.096956
5825.454678,2017-09-01T04:29:00,5825.454678
5833.691919,2017-09-01T04:30:00,5833.691919
5842.134871,2017-09-01T04:31:00,5842.134871
5854.145789,2017-09-01T04:32:00,5854.145789
5861.805518,2017-09-01T04:33:00,5861.805518
5870.30498,2017-09-01T04:34:00,5870.30498
5877.815332,2017-09-01T04:35:00,5877.815332
5888.954753,2017-09-01T04:36:00,5888.954753
5897.666992,2017-09-01T04:37:00,5897.666992
5907.475586,2017-09-01T04:38:00,5907.475586
5914.484473,2017-09-01T04:39:00,5914.484473
5923.861719,2017-09-01T04:40:00,5923.861719
5931.771419,2017-09-01T04:41:00,5931.771419
5943.008887,2017-09-01T04:42:00,5943.008887
5950.784844,2017-09-01T04:43:00,5950.784844
5960.966138,2017-09-01T04:44:00,5960.966138
