UNH_YTP.R1014.LI408.OL,DATETIME,Level
2077.158285,2017-09-01T03:50:00,2077.158285
2076.432699,2017-09-01T03:51:00,2076.432699
2076.190967,2017-09-01T03:52:00,2076.190967
2076.674609,2017-09-01T03:53:00,2076.674609
2076.190869,2017-09-01T03:54:00,2076.190869
2076.251416,2017-09-01T03:55:00,2076.251416
2076.130469,2017-09-01T03:56:00,2076.130469
2076.170785,2017-09-01T03:57:00,2076.170785
2076.896354,2017-09-01T03:58:00,2076.896354
2076.594092,2017-09-01T03:59:00,2076.594092
2076.372233,2017-09-01T04:00:00,2076.372233
2077.178451,2017-09-01T04:01:00,2077.178451
2076.634408,2017-09-01T04:02:00,2076.634408
2076.916504,2017-09-01T04:03:00,2076.916504
2076.916504,2017-09-01T04:04:00,2076.916504
2076.916504,2017-09-01T04:05:00,2076.916504
2076.674609,2017-09-01T04:06:00,2076.674609
2076.553662,2017-09-01T04:07:00,2076.553662
2077.037402,2017-09-01T04:08:00,2077.037402
2077.097852,2017-09-01T04:09:00,2077.097852
2077.039451,2017-09-01T04:10:00,2077.039451
2077.21875,2017-09-01T04:11:00,2077.21875
2076.588969,2017-09-01T04:12:00,2076.588969
2075.833211,2017-09-01T04:13:00,2075.833211
2075.883586,2017-09-01T04:14:00,2075.883586
2076.085185,2017-09-01T04:15:00,2076.085185
2076.614258,2017-09-01T04:16:00,2076.614258
2076.916504,2017-09-01T04:17:00,2076.916504
2076.840942,2017-09-01T04:18:00,2076.840942
2076.689819,2017-09-01T04:19:00,2076.689819
2076.803162,2017-09-01T04:20:00,2076.803162
2076.966878,2017-09-01T04:21:00,2076.966878
2076.86613,2017-09-01T04:22:00,2076.86613
2076.966878,2017-09-01T04:23:00,2076.966878
2076.86613,2017-09-01T04:24:00,2076.86613
2076.614258,2017-09-01T04:25:00,2076.614258
2076.966878,2017-09-01T04:26:00,2076.966878
2076.538635,2017-09-01T04:27:00,2076.538635
2076.462952,2017-09-01T04:28:00,2076.462952
2076.689728,2017-09-01T04:29:00,2076.689728
2076.311768,2017-09-01T04:30:00,2076.311768
2076.311768,2017-09-01T04:31:00,2076.311768
2076.840841,2017-09-01T04:32:00,2076.840841
2077.04244,2017-09-01T04:33:00,2077.04244
2076.916504,2017-09-01T04:34:00,2076.916504
2077.017212,2017-09-01T04:35:00,2077.017212
2077.193563,2017-09-01T04:36:00,2077.193563
2076.966899,2017-09-01T04:37:00,2076.966899
2077.470846,2017-09-01T04:38:00,2077.470846
2076.916504,2017-09-01T04:39:00,2076.916504
2076.916504,2017-09-01T04:40:00,2076.916504
2076.941691,2017-09-01T04:41:00,2076.941691
2077.193563,2017-09-01T04:42:00,2077.193563
2076.941691,2017-09-01T04:43:00,2076.941691
2077.193563,2017-09-01T04:44:00,2077.193563
2076.916504,2017-09-01T04:45:00,2076.916504
2076.916504,2017-09-01T04:46:00,2076.916504
2076.916504,2017-09-01T04:47:00,2076.916504
2076.946729,2017-09-01T04:48:00,2076.946729
2077.188525,2017-09-01T04:49:00,2077.188525
2076.946729,2017-09-01T04:50:00,2076.946729
2077.158301,2017-09-01T04:51:00,2077.158301
2076.674707,2017-09-01T04:52:00,2076.674707
2077.21875,2017-09-01T04:53:00,2077.21875
2077.158301,2017-09-01T04:54:00,2077.158301
2076.614258,2017-09-01T04:55:00,2076.614258
2076.614258,2017-09-01T04:56:00,2076.614258
2076.659595,2017-09-01T04:57:00,2076.659595
2075.99751,2017-09-01T04:58:00,2075.99751
2076.352205,2017-09-01T04:59:00,2076.352205
2076.481152,2017-09-01T05:00:00,2076.481152
2076.916504,2017-09-01T05:01:00,2076.916504
2076.916504,2017-09-01T05:02:00,2076.916504
2076.735156,2017-09-01T05:03:00,2076.735156
2076.795605,2017-09-01T05:04:00,2076.795605
2076.553662,2017-09-01T05:05:00,2076.553662
2076.493262,2017-09-01T05:06:00,2076.493262
2076.795605,2017-09-01T05:07:00,2076.795605
2077.097852,2017-09-01T05:08:00,2077.097852
2077.21875,2017-09-01T05:09:00,2077.21875
2077.400244,2017-09-01T05:10:00,2077.400244
2077.21875,2017-09-01T05:11:00,2077.21875
2077.21875,2017-09-01T05:12:00,2077.21875
2077.097827,2017-09-01T05:13:00,2077.097827
2076.10022,2017-09-01T05:14:00,2076.10022
2076.886279,2017-09-01T05:15:00,2076.886279
2076.541689,2017-09-01T05:16:00,2076.541689
2076.614209,2017-09-01T05:17:00,2076.614209
2077.158398,2017-09-01T05:18:00,2077.158398
2076.916504,2017-09-01T05:19:00,2076.916504
2076.553662,2017-09-01T05:20:00,2076.553662
2076.674609,2017-09-01T05:21:00,2076.674609
2077.097852,2017-09-01T05:22:00,2077.097852
2077.037402,2017-09-01T05:23:00,2077.037402
2077.097852,2017-09-01T05:24:00,2077.097852
2077.037402,2017-09-01T05:25:00,2077.037402
2076.735156,2017-09-01T05:26:00,2076.735156
2076.976953,2017-09-01T05:27:00,2076.976953
2077.037402,2017-09-01T05:28:00,2077.037402
2076.916504,2017-09-01T05:29:00,2076.916504
2076.481094,2017-09-01T05:30:00,2076.481094
2077.007121,2017-09-01T05:31:00,2077.007121
2076.662617,2017-09-01T05:32:00,2076.662617
2077.178451,2017-09-01T05:33:00,2077.178451
2076.936654,2017-09-01T05:34:00,2076.936654
2077.097827,2017-09-01T05:35:00,2077.097827
2076.039746,2017-09-01T05:36:00,2076.039746
2076.342017,2017-09-01T05:37:00,2076.342017
2076.551674,2017-09-01T05:38:00,2076.551674
2076.498303,2017-09-01T05:39:00,2076.498303
2076.427722,2017-09-01T05:40:00,2076.427722
2076.498303,2017-09-01T05:41:00,2076.498303
2076.800643,2017-09-01T05:42:00,2076.800643
2076.916504,2017-09-01T05:43:00,2076.916504
2076.730119,2017-09-01T05:44:00,2076.730119
2076.614258,2017-09-01T05:45:00,2076.614258
2076.800643,2017-09-01T05:46:00,2076.800643
2076.730119,2017-09-01T05:47:00,2076.730119
2076.987028,2017-09-01T05:48:00,2076.987028
2076.939172,2017-09-01T05:49:00,2076.939172
2076.178813,2017-09-01T05:50:00,2076.178813
2077.090295,2017-09-01T05:51:00,2077.090295
2076.543583,2017-09-01T05:52:00,2076.543583
2076.125382,2017-09-01T05:53:00,2076.125382
2076.755212,2017-09-01T05:54:00,2076.755212
2076.251465,2017-09-01T05:55:00,2076.251465
2076.009521,2017-09-01T05:56:00,2076.009521
2076.095158,2017-09-01T05:57:00,2076.095158
2076.48311,2017-09-01T05:58:00,2076.48311
2076.830868,2017-09-01T05:59:00,2076.830868
2076.699894,2017-09-01T06:00:00,2076.699894
2077.00214,2017-09-01T06:01:00,2077.00214
2077.133114,2017-09-01T06:02:00,2077.133114
2077.00214,2017-09-01T06:03:00,2077.00214
2077.047477,2017-09-01T06:04:00,2077.047477
2076.699894,2017-09-01T06:05:00,2076.699894
2077.00214,2017-09-01T06:06:00,2077.00214
2076.961772,2017-09-01T06:07:00,2076.961772
2076.311768,2017-09-01T06:08:00,2076.311768
2076.654451,2017-09-01T06:09:00,2076.654451
2076.442794,2017-09-01T06:10:00,2076.442794
2076.548718,2017-09-01T06:11:00,2076.548718
2076.140548,2017-09-01T06:12:00,2076.140548
2077.146196,2017-09-01T06:13:00,2077.146196
2076.644482,2017-09-01T06:14:00,2076.644482
2076.039758,2017-09-01T06:15:00,2076.039758
2077.158289,2017-09-01T06:16:00,2077.158289
2077.21875,2017-09-01T06:17:00,2077.21875
2076.644482,2017-09-01T06:18:00,2076.644482
2076.901392,2017-09-01T06:19:00,2076.901392
2076.4026,2017-09-01T06:20:00,2076.4026
2076.862085,2017-09-01T06:21:00,2076.862085
2076.916504,2017-09-01T06:22:00,2076.916504
2077.00214,2017-09-01T06:23:00,2077.00214
2077.21875,2017-09-01T06:24:00,2077.21875
2076.810608,2017-09-01T06:25:00,2076.810608
2075.767725,2017-09-01T06:26:00,2075.767725
2076.614258,2017-09-01T06:27:00,2076.614258
2076.357245,2017-09-01T06:28:00,2076.357245
2076.961841,2017-09-01T06:29:00,2076.961841
2077.183488,2017-09-01T06:30:00,2077.183488
2076.881242,2017-09-01T06:31:00,2076.881242
2076.684782,2017-09-01T06:32:00,2076.684782
2077.21875,2017-09-01T06:33:00,2077.21875
2077.148226,2017-09-01T06:34:00,2077.148226
2076.684782,2017-09-01T06:35:00,2076.684782
2077.21875,2017-09-01T06:36:00,2077.21875
2077.21875,2017-09-01T06:37:00,2077.21875
2077.183488,2017-09-01T06:38:00,2077.183488
2076.951766,2017-09-01T06:39:00,2076.951766
2077.21875,2017-09-01T06:40:00,2077.21875
2077.21875,2017-09-01T06:41:00,2077.21875
2077.097819,2017-09-01T06:42:00,2077.097819
2076.432699,2017-09-01T06:43:00,2076.432699
2077.259082,2017-09-01T06:44:00,2077.259082
2077.440609,2017-09-01T06:45:00,2077.440609
2076.876204,2017-09-01T06:46:00,2076.876204
2076.614258,2017-09-01T06:47:00,2076.614258
2076.614258,2017-09-01T06:48:00,2076.614258
2076.735189,2017-09-01T06:49:00,2076.735189
2077.279378,2017-09-01T06:50:00,2077.279378
2075.828206,2017-09-01T06:51:00,2075.828206
2076.735156,2017-09-01T06:52:00,2076.735156
2077.359912,2017-09-01T06:53:00,2077.359912
2077.23903,2017-09-01T06:54:00,2077.23903
2076.916504,2017-09-01T06:55:00,2076.916504
2076.775456,2017-09-01T06:56:00,2076.775456
2076.952773,2017-09-01T06:57:00,2076.952773
2077.21875,2017-09-01T06:58:00,2077.21875
2077.027327,2017-09-01T06:59:00,2077.027327
2076.916504,2017-09-01T07:00:00,2076.916504
2076.725081,2017-09-01T07:01:00,2076.725081
2077.18868,2017-09-01T07:02:00,2077.18868
2076.3521,2017-09-01T07:03:00,2076.3521
2076.694857,2017-09-01T07:04:00,2076.694857
2077.21875,2017-09-01T07:05:00,2077.21875
2077.178451,2017-09-01T07:06:00,2077.178451
2076.916504,2017-09-01T07:07:00,2076.916504
2076.956803,2017-09-01T07:08:00,2076.956803
2077.21875,2017-09-01T07:09:00,2077.21875
2077.21875,2017-09-01T07:10:00,2077.21875
2077.21875,2017-09-01T07:11:00,2077.21875
2077.21875,2017-09-01T07:12:00,2077.21875
2077.21875,2017-09-01T07:13:00,2077.21875
2077.267148,2017-09-01T07:14:00,2077.267148
2077.430493,2017-09-01T07:15:00,2077.430493
2077.037402,2017-09-01T07:16:00,2077.037402
2076.795605,2017-09-01T07:17:00,2076.795605
2077.21875,2017-09-01T07:18:00,2077.21875
2077.21875,2017-09-01T07:19:00,2077.21875
2077.21875,2017-09-01T07:20:00,2077.21875
2077.400244,2017-09-01T07:21:00,2077.400244
2076.795654,2017-09-01T07:22:00,2076.795654
2077.097852,2017-09-01T07:23:00,2077.097852
2077.21875,2017-09-01T07:24:00,2077.21875
2076.735156,2017-09-01T07:25:00,2076.735156
2077.097852,2017-09-01T07:26:00,2077.097852
2077.460742,2017-09-01T07:27:00,2077.460742
2077.037451,2017-09-01T07:28:00,2077.037451
2076.674707,2017-09-01T07:29:00,2076.674707
2076.614258,2017-09-01T07:30:00,2076.614258
2076.856055,2017-09-01T07:31:00,2076.856055
2076.765283,2017-09-01T07:32:00,2076.765283
2077.551392,2017-09-01T07:33:00,2077.551392
2076.916504,2017-09-01T07:34:00,2076.916504
2076.916504,2017-09-01T07:35:00,2076.916504
2077.007178,2017-09-01T07:36:00,2077.007178
2077.21875,2017-09-01T07:37:00,2077.21875
2076.190918,2017-09-01T07:38:00,2076.190918
2076.775456,2017-09-01T07:39:00,2076.775456
2077.178451,2017-09-01T07:40:00,2077.178451
2076.997103,2017-09-01T07:41:00,2076.997103
2076.835905,2017-09-01T07:42:00,2076.835905
2076.80568,2017-09-01T07:43:00,2076.80568
2076.725081,2017-09-01T07:44:00,2076.725081
2077.003592,2017-09-01T07:45:00,2077.003592
2076.982998,2017-09-01T07:46:00,2076.982998
2076.66967,2017-09-01T07:47:00,2076.66967
2076.317817,2017-09-01T07:48:00,2076.317817
2076.311768,2017-09-01T07:49:00,2076.311768
2076.609216,2017-09-01T07:50:00,2076.609216
2077.067603,2017-09-01T07:51:00,2077.067603
2075.979297,2017-09-01T07:52:00,2075.979297
2076.805636,2017-09-01T07:53:00,2076.805636
2076.009521,2017-09-01T07:54:00,2076.009521
2076.100232,2017-09-01T07:55:00,2076.100232
2076.523547,2017-09-01T07:56:00,2076.523547
2076.009521,2017-09-01T07:57:00,2076.009521
2076.172778,2017-09-01T07:58:00,2076.172778
2075.767737,2017-09-01T07:59:00,2075.767737
2076.89635,2017-09-01T08:00:00,2076.89635
2076.281535,2017-09-01T08:01:00,2076.281535
2075.419902,2017-09-01T08:02:00,2075.419902
2076.221179,2017-09-01T08:03:00,2076.221179
2076.009521,2017-09-01T08:04:00,2076.009521
2075.616443,2017-09-01T08:05:00,2075.616443
2075.797864,2017-09-01T08:06:00,2075.797864
2074.648975,2017-09-01T08:07:00,2074.648975
2075.833057,2017-09-01T08:08:00,2075.833057
2075.27876,2017-09-01T08:09:00,2075.27876
2075.852261,2017-09-01T08:10:00,2075.852261
2075.964185,2017-09-01T08:11:00,2075.964185
2075.707275,2017-09-01T08:12:00,2075.707275
2075.525854,2017-09-01T08:13:00,2075.525854
2074.701874,2017-09-01T08:14:00,2074.701874
2075.697074,2017-09-01T08:15:00,2075.697074
2075.863436,2017-09-01T08:16:00,2075.863436
2075.707275,2017-09-01T08:17:00,2075.707275
2076.14565,2017-09-01T08:18:00,2076.14565
2076.321969,2017-09-01T08:19:00,2076.321969
2075.863436,2017-09-01T08:20:00,2075.863436
2075.853361,2017-09-01T08:21:00,2075.853361
2075.863436,2017-09-01T08:22:00,2075.863436
2075.561072,2017-09-01T08:23:00,2075.561072
2075.112496,2017-09-01T08:24:00,2075.112496
2074.946252,2017-09-01T08:25:00,2074.946252
2075.248625,2017-09-01T08:26:00,2075.248625
2075.404785,2017-09-01T08:27:00,2075.404785
2074.955109,2017-09-01T08:28:00,2074.955109
2075.052124,2017-09-01T08:29:00,2075.052124
2075.606486,2017-09-01T08:30:00,2075.606486
2074.951253,2017-09-01T08:31:00,2074.951253
2075.808024,2017-09-01T08:32:00,2075.808024
2075.707153,2017-09-01T08:33:00,2075.707153
2075.102539,2017-09-01T08:34:00,2075.102539
2075.606486,2017-09-01T08:35:00,2075.606486
2075.707275,2017-09-01T08:36:00,2075.707275
2075.707275,2017-09-01T08:37:00,2075.707275
2075.959147,2017-09-01T08:38:00,2075.959147
2075.505575,2017-09-01T08:39:00,2075.505575
2074.900838,2017-09-01T08:40:00,2074.900838
2076.059814,2017-09-01T08:41:00,2076.059814
2075.304077,2017-09-01T08:42:00,2075.304077
2075.354411,2017-09-01T08:43:00,2075.354411
2075.152913,2017-09-01T08:44:00,2075.152913
2075.354411,2017-09-01T08:45:00,2075.354411
2075.58623,2017-09-01T08:46:00,2075.58623
2075.707194,2017-09-01T08:47:00,2075.707194
2074.80013,2017-09-01T08:48:00,2074.80013
2075.606364,2017-09-01T08:49:00,2075.606364
2075.404834,2017-09-01T08:50:00,2075.404834
2075.404785,2017-09-01T08:51:00,2075.404785
2074.800049,2017-09-01T08:52:00,2074.800049
2074.800049,2017-09-01T08:53:00,2074.800049
2075.102539,2017-09-01T08:54:00,2075.102539
2074.800049,2017-09-01T08:55:00,2074.800049
2074.6993,2017-09-01T08:56:00,2074.6993
2074.245931,2017-09-01T08:57:00,2074.245931
2074.497803,2017-09-01T08:58:00,2074.497803
2074.497803,2017-09-01T08:59:00,2074.497803
2074.346619,2017-09-01T09:00:00,2074.346619
2075.102539,2017-09-01T09:01:00,2075.102539
2074.497803,2017-09-01T09:02:00,2074.497803
2074.648966,2017-09-01T09:03:00,2074.648966
2075.303996,2017-09-01T09:04:00,2075.303996
2074.6993,2017-09-01T09:05:00,2074.6993
2074.598633,2017-09-01T09:06:00,2074.598633
2074.437256,2017-09-01T09:07:00,2074.437256
2075.203206,2017-09-01T09:08:00,2075.203206
2074.598551,2017-09-01T09:09:00,2074.598551
2074.497721,2017-09-01T09:10:00,2074.497721
2075.102539,2017-09-01T09:11:00,2075.102539
2074.800049,2017-09-01T09:12:00,2074.800049
2074.800049,2017-09-01T09:13:00,2074.800049
2074.800049,2017-09-01T09:14:00,2074.800049
2074.800049,2017-09-01T09:15:00,2074.800049
2074.67915,2017-09-01T09:16:00,2074.67915
2074.800049,2017-09-01T09:17:00,2074.800049
2074.497721,2017-09-01T09:18:00,2074.497721
2074.296224,2017-09-01T09:19:00,2074.296224
2075.001709,2017-09-01T09:20:00,2075.001709
2074.800049,2017-09-01T09:21:00,2074.800049
2073.59082,2017-09-01T09:22:00,2073.59082
2075.047083,2017-09-01T09:23:00,2075.047083
2074.744637,2017-09-01T09:24:00,2074.744637
2074.431309,2017-09-01T09:25:00,2074.431309
2075.404785,2017-09-01T09:26:00,2075.404785
2075.344324,2017-09-01T09:27:00,2075.344324
2074.497803,2017-09-01T09:28:00,2074.497803
2074.603589,2017-09-01T09:29:00,2074.603589
2074.800049,2017-09-01T09:30:00,2074.800049
2074.800049,2017-09-01T09:31:00,2074.800049
2074.90592,2017-09-01T09:32:00,2074.90592
2074.679224,2017-09-01T09:33:00,2074.679224
2074.21051,2017-09-01T09:34:00,2074.21051
2074.927095,2017-09-01T09:35:00,2074.927095
2074.195557,2017-09-01T09:36:00,2074.195557
2074.200594,2017-09-01T09:37:00,2074.200594
2074.482686,2017-09-01T09:38:00,2074.482686
2073.605937,2017-09-01T09:39:00,2073.605937
2074.497803,2017-09-01T09:40:00,2074.497803
2074.497803,2017-09-01T09:41:00,2074.497803
2074.492765,2017-09-01T09:42:00,2074.492765
2074.195557,2017-09-01T09:43:00,2074.195557
2074.205632,2017-09-01T09:44:00,2074.205632
2074.795011,2017-09-01T09:45:00,2074.795011
2074.487728,2017-09-01T09:46:00,2074.487728
2074.880802,2017-09-01T09:47:00,2074.880802
2073.893066,2017-09-01T09:48:00,2073.893066
2073.948523,2017-09-01T09:49:00,2073.948523
